,AcresBurned,ArchiveYear,CrewsInvolved,Dozers,Engines,Fatalities,Featured,Final,Helicopters,Injuries,Latitude,Longitude,MajorIncident,Name,PersonnelInvolved,Started,UniqueId,Updated,Duration
42,376.0,2013,,,1.0,,False,True,,,38.628,-122.289,True,Putah Fire,4.0,2013-10-03 20:33:00+00:00,1f94fce5-49a5-4220-bc99-f003ab4d3e60,2013-10-04 16:55:00+00:00,20.366666666666667
43,354.0,2013,,,,,False,True,,,37.160346000000004,-120.937494,False,Tres Pinos Fire,,2013-05-03 11:42:00+00:00,ca68f3c4-4906-4952-b794-4531d7da8369,2013-05-03 18:45:00+00:00,7.05
45,305.0,2013,4.0,1.0,15.0,,False,True,1.0,,39.439,-121.49700000000001,True,Summit Fire,259.0,2013-10-04 17:37:00+00:00,d922e7c8-814a-412b-a40b-53072d0983ea,2013-10-05 22:00:00+00:00,28.383333333333333
46,303.0,2013,,,,,False,True,,,38.049929999999996,-120.90325,False,Shelton Fire,,2013-05-30 11:20:00+00:00,0b51d59b-457d-4a62-b066-55c2b8d400e2,2013-05-30 13:25:00+00:00,2.0833333333333335
47,298.0,2013,3.0,3.0,26.0,,False,True,2.0,,39.434183000000004,-121.57680400000001,True,Lone Fire,,2013-06-03 13:49:00+00:00,1a5192f1-bc99-4130-8683-381e0534b76a,2013-06-03 20:00:00+00:00,6.183333333333334
49,274.0,2013,,,,,False,True,,,39.90465,-121.74367,False,Concord Fire,,2013-07-01 15:41:00+00:00,95399a9c-8b3e-4413-9f56-5ed57d3d81b3,2013-07-01 18:30:00+00:00,2.816666666666667
50,274.0,2013,,,,,False,True,,,37.116295,-119.63500400000001,False,Gold Fire,,2013-04-30 12:59:00+00:00,357ffc13-bef9-48eb-810f-c5de851972eb,2013-05-01 07:00:00+00:00,18.016666666666666
51,268.0,2013,,,,,False,True,,,34.149,-117.90799999999999,False,Madre Fire,,2013-09-23 18:00:00+00:00,eb5a3f2a-0c25-417a-af78-bb0d643247c7,2013-09-28 08:00:00+00:00,110.0
52,263.0,2013,4.0,,15.0,,False,True,1.0,2.0,32.710918,-116.746023,True,Lyon Fire,294.0,2013-09-09 13:09:00+00:00,f6f6fefa-ac4e-466f-815e-492416e37b98,2013-09-12 18:15:00+00:00,77.1
53,243.0,2013,,,,,False,True,,,34.35,-117.62,False,Sharp Fire,,2013-08-08 12:15:00+00:00,62eabea3-40be-497d-94e4-150f011b925f,2013-08-13 23:45:00+00:00,131.5
54,240.0,2013,,,,,False,True,,,37.775057000000004,-121.73721299999998,False,Vasco Fire,,2013-06-08 10:16:00+00:00,2ad509e4-99f1-4e1a-81eb-839f772f9c45,2013-06-08 13:25:00+00:00,3.15
55,237.0,2013,,,,,False,True,,,38.729296999999995,-121.38086200000001,False,PFE Fire,,2013-06-13 11:28:00+00:00,fe47b1c2-b9c0-44be-8d10-f270056db35c,2013-06-13 14:15:00+00:00,2.783333333333333
57,217.0,2013,11.0,5.0,6.0,,False,True,5.0,,39.514139,-122.56086200000001,True,306 Fire,221.0,2013-05-01 19:00:00+00:00,5649e78d-7c26-4698-89a0-b0fa9a35cf78,2013-05-05 18:00:00+00:00,95.0
59,200.0,2013,,,,,False,True,,,34.2,-117.417,False,Sierra Fire,,2013-09-24 15:51:00+00:00,f7358513-329f-4dba-8980-4cd3a19b469a,2013-09-30 08:30:00+00:00,136.65
60,200.0,2013,,,,,False,True,,,40.012398,-122.079871,False,Vina Fire,,2013-07-04 07:30:00+00:00,c94959d7-eb88-4724-8feb-ba0662afca10,2013-07-04 10:30:00+00:00,3.0
61,196.0,2013,24.0,24.0,31.0,,False,True,24.0,,40.5445,-121.3754,True,Burney Lightning Series (Warner Fire),347.0,2013-08-19 17:48:00+00:00,f21a41c6-0905-4531-9bdf-2456d0051eed,2013-08-23 19:15:00+00:00,97.45
62,195.0,2013,,,,,False,True,,,39.961309,-122.33087900000001,False,Paskenta Fire,,2013-07-19 13:32:00+00:00,4423899b-6197-4ef5-9f73-bca1763f17e6,2013-07-19 15:00:00+00:00,1.4666666666666666
63,190.0,2013,6.0,,15.0,,False,True,,,38.382,-122.311,True,Silverado Fire,150.0,2013-11-21 21:39:00+00:00,79d476e5-0b4d-48e2-a105-2bba5c1140e9,2013-11-23 18:30:00+00:00,44.85
64,170.0,2013,,,,,False,True,,,34.611824,-120.074655,False,Olive Fire,,2013-05-28 15:24:00+00:00,cb5f34a0-177e-445d-9349-dd94063a01d0,2013-05-29 10:30:00+00:00,19.1
65,163.0,2013,,,,,False,True,,,38.67479,-122.08725,False,Capay Fire,,2013-11-04 11:41:00+00:00,0aa08938-eaab-4a60-8891-946197328f94,2013-11-04 15:35:00+00:00,3.9
66,163.0,2013,,,,,False,True,,,38.63987,-121.08438000000001,False,50 Fire,,2013-07-19 14:12:00+00:00,4630e9ce-88ec-4159-9bc9-25ff5f8216cc,2013-07-19 17:15:00+00:00,3.05
67,163.0,2013,,,,,False,True,,,38.63987,-121.08438000000001,False,50 Fire,,2013-07-19 14:12:00+00:00,4630e9ce-88ec-4159-9bc9-25ff5f8216cc,2013-07-19 17:15:00+00:00,3.05
